EdgeID	label
5	Founded
6	Founded
7	Founded
9	Founded
13	Developed by
17	Is key to
18	Owns
19	Founded
22	Is key to
25	Is key to
28	Is key to
29	Is key to
30	Is key to
31	Is key to
32	Is key to
33	Is key to
34	Is key to
35	Is key to
36	Is key to
37	Is key to
38	Is key to
39	Is key to
41	Is key to
42	Is key to
43	Is key to
45	Is key to
46	Is key to
47	Is key to
48	Is key to
49	Is key to
50	Is key to
51	Is key to
53	Developed by
54	Produces
57	Produces
58	Produces
59	Produces
61	Produces
62	Produces
63	Produces
67	Founded
68	Is key to
69	Founded
70	Is key to
71	Is key to
73	Owns
79	Founded
80	Is key to
81	Is key to
87	Produces
89	Produces
90	Produces
94	Produces
95	Produces
96	Produces
97	Produces
98	Produces
99	Produces
100	Produces
103	Developed by
104	Owns
105	Produces
106	Owns
107	Produces
109	Owns
110	Owns
112	Founded
113	Created by
115	Owns
119	Is key to
120	Owns
121	Developed by
122	Developed by
123	Developed by
124	Owns
126	Owns
132	Developed by
136	Owns
140	Founded
141	Founded
143	Is key to
144	Founded
148	Is key to
149	Authored
151	Created by
153	Founded
154	Is key to
155	Founded
156	Founded
157	Authored
158	Created by
159	Founded
160	Owns
162	Produces
166	Owns
168	Is key to
170	Owns
171	Owns
175	Owns
177	Developed by
178	Developed by
180	Owns
182	Developed by
183	Developed by
184	Owns
186	Owns
187	Developed by
188	Owns
190	Authored
191	Is key to
192	Founded
193	Is key to
195	Is key to
198	Is key to
199	Founded
203	Founded
207	Founded
208	Is key to
209	Founded
210	Founded
211	Owns
213	Owns
214	Owns
217	Owns
218	Owns
219	Owns
225	Owns
226	Is key to
227	Created by
228	Founded
229	Is key to
230	Founded
231	Founded
232	Is key to
233	Is key to
235	Founded
236	Is key to
237	Is key to
240	Owns
241	Produces
242	Produces
244	Authored
245	Founded
246	Is key to
249	Is key to
250	Owns
252	Is key to
253	Is key to
254	Founded
256	Created by
262	Created by
263	Founded
264	Owns
265	Developed by
266	Owns
267	Founded
268	Owns
273	Is key to
274	Is key to
275	Is key to
276	NAICSCode
278	Founded
279	Founded
280	Produces
282	NAICSCode
284	Owns
285	Owns
293	Owns
294	Founded
295	Owns
297	Founded
299	Owns
300	NAICSCode
305	Owns
